type;subtype;EOVX;EOVY;LAT;LON;capacity;poid;id;minage;maxage;risk
7;ABC;735934;102418;46,260789;20,162045;300;37263;735934102418;0;99;1
7;ABC;732928;103763;46,273266;20,123302;300;37274;732928103763;0;99;1
7;ABC;733715;101118;46,249376;20,133034;300;37276;733715101118;0;99;1
7;ABC;737175;103079;46,266574;20,178263;300;114667;737175103079;0;99;1
7;ABC;728755;97890;46,220941;20,068177;300;114688;72875597890;0;99;1
7;ABC;738152;102392;46,260267;20,190804;300;114737;738152102392;0;99;1
7;ABC;728160;103317;46,269827;20,061378;300;114750;728160103317;0;99;1
7;ajándék és üdvözlőkártya;734119;103231;46,268332;20,138655;300;66544;734119103231;22;99;1
4;alapítvány;734626;101496;46,252662;20,144915;50;18556;734626101496;22;65;1
4;Alkotmányvédelmi Hivatal;734457;102117;46,258269;20,142836;500;102609;734457102117;22;65;1
4;Állami Népegészségügyi és Tisztiorvosi Szolgálat;736294;100542;46,243868;20,166366;100;201;736294100542;22;65;1
4;Állami Népegészségügyi és Tisztiorvosi Szolgálat;736294;100542;46,243868;20,166366;100;215693;736294100542;22;65;1
4;Állami Számvevőszék;734634;101932;46,256583;20,145098;50;105471;734634101932;22;65;1
10;állatkert, akvárium, vadaspark;732289;101533;46,253286;20,114619;500;28358;732289101533;0;99;0,5
7;állatorvosi gyógyszertár;734919;101754;46,254946;20,148761;100;137517;734919101754;14;99;1
7;állatorvosi gyógyszertár;734058;101051;46,248731;20,13747;100;137561;734058101051;14;99;1
7;állatorvosi rendelő;734524;102332;46,260195;20,143744;100;114736;734524102332;14;99;1
7;állatorvosi rendelő;736758;100706;46,245283;20,172412;100;209993;736758100706;14;99;1
7;általános iskola;735783;103224;46,268058;20,160236;500;34042altal;34042;6;14;1
7;általános iskola;734155;100325;46,242188;20,138596;500;34035altal;34035;6;14;1
7;általános iskola;736314;102485;46,261343;20,166986;500;34106altal;34106;6;14;1
7;általános iskola;735528;103364;46,26935;20,156954;500;34107altal;34107;6;14;1
7;általános iskola;734398;102244;46,259419;20,142094;500;34109altal;34109;6;14;1
7;általános iskola;735837;103372;46,269382;20,160964;500;34324altal;34324;6;14;1
7;általános iskola;734714;100725;46,245716;20,145916;500;34336altal;34336;6;14;1
7;általános iskola;734678;102182;46,258826;20,145714;500;40893altal;40893;6;14;1
7;általános iskola;728920;103301;46,269594;20,071233;500;42036altal;42036;6;14;1
7;általános iskola;736961;100597;46,244277;20,175024;500;42208altal;42208;6;14;1
7;általános iskola;734095;103480;46,270575;20,138389;500;42265altal;42265;6;14;1
7;általános iskola;734722;100938;46,247631;20,146058;500;42382altal;42382;6;14;1
7;általános iskola;733738;100890;46,247322;20,133292;500;42937altal;42937;6;14;1
7;általános iskola;733902;100003;46,239323;20,135258;500;43131altal;43131;6;14;1
7;általános iskola;736668;102729;46,263492;20,171622;500;43371altal;43371;6;14;1
7;általános iskola;735122;103911;46,274322;20,151789;500;43430altal;43430;6;14;1
7;általános iskola;734763;101817;46,255532;20,14675;500;43431altal;43431;6;14;1
7;általános iskola;732141;99632;46,236204;20,112364;500;43674altal;43674;6;14;1
7;általános iskola;736222;103694;46,272229;20,166017;500;44118altal;44118;6;14;1
7;általános iskola;735909;103773;46,27298;20,161972;500;44154altal;44154;6;14;1
7;általános iskola;728180;103894;46,275015;20,061735;500;44486altal;44486;6;14;1
7;általános iskola;735665;100545;46,243976;20,158212;500;44711altal;44711;6;14;1
7;általános iskola;738710;97718;46,218151;20,19715;500;44876altal;44876;6;14;1
7;általános iskola;738373;102357;46,259923;20,193664;500;45553altal;45553;6;14;1
7;általános iskola;733894;103147;46,267605;20,135721;500;45730altal;45730;6;14;1
7;általános iskola;735576;100930;46,24745;20,157129;500;45738altal;45738;6;14;1
7;általános iskola;735533;102253;46,259356;20,156815;500;46015altal;46015;6;14;1
7;általános iskola;734152;100777;46,246254;20,138639;500;46719altal;46719;6;14;1
7;általános iskola;737387;102768;46,263749;20,180954;500;47083altal;47083;6;14;1
7;általános iskola;734305;101237;46,250373;20,140706;500;47269altal;47269;6;14;1
7;általános iskola;733228;102215;46,259304;20,126916;500;213957altal;213957;6;14;1
7;általános iskola;734018;101993;46,257209;20,137121;500;213982altal;213982;6;14;1
7;általános iskola;735455;102240;46,259249;20,155801;500;213988altal;213988;6;14;1
8;alternatív gyógyítás, természetes gyógymódok;734730;102007;46,257245;20,146357;20;114608;734730102007;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;734184;100934;46,247662;20,139082;20;114706;734184100934;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;735312;101869;46,25593;20,153878;20;148301;735312101869;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;734924;102087;46,25794;20,148887;20;148269;734924102087;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;734332;102914;46,265454;20,14136;20;148318;734332102914;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;736535;101416;46,251699;20,169653;20;148323;736535101416;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;734398;102394;46,260768;20,142122;20;148349;734398102394;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;734497;101042;46,248594;20,14316;20;148353;734497101042;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;734440;100015;46,239364;20,142234;20;148359;734440100015;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;734419;101690;46,254433;20,142266;20;148363;734419101690;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;736120;101449;46,252049;20,164278;20;148376;736120101449;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;736083;101493;46,252449;20,163807;20;148377;736083101493;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;733427;101544;46,253244;20,129377;20;148386;733427101544;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;728308;104161;46,277401;20,06344;20;148449;728308104161;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;735923;101299;46,250725;20,161696;20;148471;735923101299;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;737559;102658;46,262737;20,183164;20;148515;737559102658;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;734332;100355;46,242436;20,140896;20;148522;734332100355;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;734271;99767;46,237154;20,139999;20;148551;73427199767;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;735672;100973;46,247825;20,158382;20;148564;735672100973;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;733349;101344;46,251455;20,128329;20;178779;733349101344;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;734398;100122;46,240331;20,141709;20;178791;734398100122;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;735112;101700;46,254435;20,151254;20;178800;735112101700;50;99;1
8;alternatív gyógyítás, természetes gyógymódok;734085;100513;46,243888;20,137722;20;182406;734085100513;50;99;1
7;antikvárium;734575;101419;46,251976;20,14424;50;66801;734575101419;22;99;1
7;antikvárium;734643;101557;46,253208;20,145146;50;66803;734643101557;22;99;1
7;antikvitás;734643;101557;46,253208;20,145146;200;66803;734643101557;22;99;1
7;anyatejgyűjtő állomás;734514;102154;46,258595;20,143582;50;215671;734514102154;22;45;1
11;ápolási otthon;735299;104036;46,275424;20,154107;50;45140;735299104036;65;99;1
11;ápolási otthon;734377;102555;46,262219;20,141878;50;108777;734377102555;65;99;1
11;ápolási otthon;729630;97692;46,219057;20,079483;50;114684;72963097692;65;99;1
11;ápolási otthon;734429;100058;46,239752;20,1421;50;114697;734429100058;65;99;1
11;ápolási otthon;735554;101094;46,248928;20,156874;50;148552;735554101094;65;99;1
11;ápolási otthon;731130;101610;46,254119;20,099604;50;216980;731130101610;65;99;1
10;arborétum, botanikus kert;735860;99373;46,233409;20,160524;200;28368;73586099373;0;99;0,5
7;áruházlánc;732912;101420;46,252174;20,122678;2000;148445;732912101420;0;99;1
7;áruházlánc;731446;103956;46,275183;20,104112;2000;181609;731446103956;0;99;1
7;áruházlánc;734314;102072;46,257882;20,140974;2000;77664;734314102072;0;99;1
7;áruházlánc;732707;100465;46,243627;20,119849;2000;114488;732707100465;0;99;1
7;áruházlánc;734177;101655;46,25419049;20,13919057;2000;3832;734177101655;0;99;1
7;áruházlánc;731271;103856;46,27434712;20,10189318;2000;8662;731271103856;0;99;1
7;áruházlánc;733469;103298;46,2690578;20,13030489;2000;3841;733469103298;0;99;1
7;áruházlánc;732789;100310;46,24226499;20,12095311;2000;91685;732789100310;0;99;1
7;áruházlánc;734935;103762;46,273005;20,149336;2000;206037;734935103762;0;99;1
7;áruházlánc;732097;103027;46,26678957;20,11246148;2000;221790;732097103027;0;99;1
7;áruházlánc;731446;103956;46,275183;20,104112;2000;2008;731446103956;0;99;1
7;áruházlánc;733753;103214;46,2682668;20,13397338;2000;8518;733753103214;0;99;1
7;áruházlánc;736454;102988;46,26589105;20,16896388;2000;35838;736454102988;0;99;1
7;áruházlánc;734370;100173;46,24083566;20,14142444;2000;35841;734370100173;0;99;1
7;áruházlánc;734859;102926;46,26553715;20,14826592;2000;35842;734859102926;0;99;1
7;áruházlánc;736928;101038;46,24828962;20,17474702;2000;35843;736928101038;0;99;1
7;áruházlánc;737622;99825;46,23728847;20,18351659;2000;35845;73762299825;0;99;1
7;áruházlánc;735618;102458;46,261231;20,15802365;2000;35847;735618102458;0;99;1
7;áruházlánc;735674;100574;46,24427734;20,1584029;2000;35851;735674100574;0;99;1
7;áruházlánc;734778;101668;46,25423171;20,14698605;2000;35852;734778101668;0;99;1
7;áruházlánc;733631;103091;46,26717565;20,13236888;2000;37273;733631103091;0;99;1
7;áruházlánc;736325;101030;46,24829556;20,16692738;2000;68235;736325101030;0;99;1
7;áruházlánc;735823;102247;46,25930686;20,16064327;2000;161647;735823102247;0;99;1
7;áruházlánc;736462;104676;46,281032;20,169313;2000;81082;736462104676;0;99;1
7;áruházlánc;738672;98030;46,220963;20,196717;2000;82224;73867298030;0;99;1
7;áruházlánc;734150;100867;46,247064;20,138629;2000;82227;734150100867;0;99;1
7;áruházlánc;729665;97728;46,219376;20,079942;2000;82230;72966597728;0;99;1
7;áruházlánc;736375;101285;46,250541;20,167554;2000;82231;736375101285;0;99;1
7;áruházlánc;737797;99735;46,236414;20,185699;2000;82232;73779799735;0;99;1
7;áruházlánc;728284;103831;46,274436;20,063073;2000;82233;728284103831;0;99;1
7;áruházlánc;734695;101075;46,248866;20,145733;2000;82234;734695101075;0;99;1
7;áruházlánc;736218;104039;46,275333;20,166029;2000;82235;736218104039;0;99;1
7;áruházlánc;735014;102055;46,257641;20,150048;2000;82236;735014102055;0;99;1
7;áruházlánc;735072;103758;46,272952;20,151112;2000;82237;735072103758;0;99;1
7;áruházlánc;738918;102208;46,258511;20,200703;2000;82241;738918102208;0;99;1
7;áruházlánc;735643;103074;46,266727;20,158393;2000;175738;735643103074;0;99;1
7;áruházlánc;731057;103083;46,267378;20,098914;2000;61182;731057103083;0;99;1
7;áruházlánc;736018;103434;46,269917;20,163323;2000;61183;736018103434;0;99;1
7;áruházlánc;735025;103763;46,273003;20,150503;2000;61226;735025103763;0;99;1
7;áruházlánc;734714;101704;46,25456362;20,14616272;2000;56003;734714101704;0;99;1
7;áruházlánc;734695;101075;46,24890817;20,14580183;2000;56004;734695101075;0;99;1
7;áruházlánc;733359;103025;46,26661585;20,12882919;2000;56005;733359103025;0;99;1
7;áruházlánc;734867;101465;46,25239447;20,14810306;2000;56006;734867101465;0;99;1
7;áruházlánc;735813;103717;46,27253074;20,1607849;2000;105991;735813103717;0;99;1
7;áruházlánc;734177;101655;46,25419049;20,13919057;2000;147998;734177101655;0;99;1
