type;subtype;EOVX;EOVY;wgse;wgsn;capacity;id;minage;maxage;;;;;;;;;;
0;bankautomata;739229;110420;46,332336;20,206314;200;0739229110420;18;65;;;;;;;;;;
0;bankautomata;742007;97848;46,218877;20,239898;200;074200797848;18;65;;;;;;;;;;
0;bankautomata;723686;100539;46,245345;20,002906;200;0723686100539;18;65;;;;;;;;;;
0;bankautomata;545986;120722;46,422842;17,694319;200;0545986120722;18;65;;;;;;;;;;
0;bankautomata;564910;132855;46,534661;17,938228;200;0564910132855;18;65;;;;;;;;;;
0;bankautomata;539538;99485;46,230792;17,615518;200;053953899485;18;65;;;;;;;;;;
0;bankautomata;539589;99497;46,230909;17,616176;200;053958999497;18;65;;;;;;;;;;
0;bankautomata;546735;113695;46,359754;17,705631;200;0546735113695;18;65;;;;;;;;;;
0;bankautomata;553153;113222;46,35646;17,789112;200;0553153113222;18;65;;;;;;;;;;
0;bankautomata;553245;113479;46,358785;17,790253;200;0553245113479;18;65;;;;;;;;;;
0;bankautomata;552846;113196;46,356182;17,785129;200;0552846113196;18;65;;;;;;;;;;
0;bankautomata;553379;113306;46,357248;17,79203;200;0553379113306;18;65;;;;;;;;;;
0;bankautomata;553095;113193;46,356191;17,788364;200;0553095113193;18;65;;;;;;;;;;
0;bankautomata;552595;113447;46,358403;17,781815;200;0552595113447;18;65;;;;;;;;;;
0;bankautomata;553074;114209;46,365326;17,787878;200;0553074114209;18;65;;;;;;;;;;
0;bankautomata;553295;113239;46,356634;17,790953;200;0553295113239;18;65;;;;;;;;;;
0;bankautomata;553184;113242;46,356644;17,78951;200;0553184113242;18;65;;;;;;;;;;
0;bankautomata;553611;113223;46,356535;17,795061;200;0553611113223;18;65;;;;;;;;;;
0;bankautomata;555610;114047;46,364232;17,820862;200;0555610114047;18;65;;;;;;;;;;
0;bankautomata;553137;113140;46,35572;17,788921;200;0553137113140;18;65;;;;;;;;;;
0;bankautomata;554723;113332;46,357675;17,809485;200;0554723113332;18;65;;;;;;;;;;
