subtype;EOVX;EOVY;LAT;LON;poid;id;risk;essential;work_type;work_capacity;work_minage;work_maxage;st_type;st_capacity;st_minage;st_maxage
általános iskola;728180;103894;46,275015;20,061735;44486;44486altal;1;2;4;44;22;65;3;269;6;15
általános iskola;728920;103301;46,269594;20,071233;42036;42036altal;1;2;4;39;22;65;3;231;6;15
általános iskola;732141;99632;46,236204;20,112364;43674;43674altal;1;2;4;41;22;65;3;198;6;15
általános iskola;733228;102215;46,259304;20,126916;213957;213957altal;1;2;4;55;22;65;3;300;6;15
általános iskola;733738;100890;46,247322;20,133292;42937;42937altal;1;2;4;55;22;65;3;300;6;15
általános iskola;733894;103147;46,267605;20,135721;45730;45730altal;1;2;4;71;22;65;3;736;6;15
általános iskola;733902;100003;46,239323;20,135258;43131;43131altal;1;2;4;58;22;65;3;364;6;15
általános iskola;734018;101993;46,257209;20,137121;213982;213982altal;1;2;4;55;22;65;3;300;6;15
általános iskola;734095;103480;46,270575;20,138389;42265;42265altal;1;2;4;61;22;65;3;420;6;15
általános iskola;734152;100777;46,246254;20,138639;46719;46719altal;1;2;4;55;22;65;3;300;6;15
általános iskola;734155;100325;46,242188;20,138596;34035;34035altal;1;2;4;55;22;65;3;300;6;15
általános iskola;734305;101237;46,250373;20,140706;47269;47269altal;1;2;4;63;22;65;3;462;6;15
általános iskola;734398;102244;46,259419;20,142094;34109;34109altal;1;2;4;85;22;65;3;749;6;15
általános iskola;734678;102182;46,258826;20,145714;40893;40893altal;1;2;4;55;22;65;3;300;6;15
általános iskola;734714;100725;46,245716;20,145916;34336;34336altal;1;2;4;55;22;65;3;300;6;15
általános iskola;734722;100938;46,247631;20,146058;42382;42382altal;1;2;4;55;22;65;3;300;6;15
általános iskola;734763;101817;46,255532;20,14675;43431;43431altal;1;2;4;40;22;65;3;339;6;15
általános iskola;735122;103911;46,274322;20,151789;43430;43430altal;1;2;4;56;22;65;3;372;6;15
általános iskola;735455;102240;46,259249;20,155801;213988;213988altal;1;2;4;55;22;65;3;300;6;15
általános iskola;735528;103364;46,26935;20,156954;34107;34107altal;1;2;4;54;22;65;3;398;6;15
általános iskola;735533;102253;46,259356;20,156815;46015;46015altal;1;2;4;55;22;65;3;434;6;15
általános iskola;735576;100930;46,24745;20,157129;45738;45738altal;1;2;4;56;22;65;3;511;6;15
általános iskola;735665;100545;46,243976;20,158212;44711;44711altal;1;2;4;47;22;65;3;309;6;15
általános iskola;735783;103224;46,268058;20,160236;34042;34042altal;1;2;4;55;22;65;3;300;6;15
általános iskola;735837;103372;46,269382;20,160964;34324;34324altal;1;2;4;75;22;65;3;472;6;15
általános iskola;735909;103773;46,27298;20,161972;44154;44154altal;1;2;4;43;22;65;3;247;6;15
általános iskola;736222;103694;46,272229;20,166017;44118;44118altal;1;2;4;55;22;65;3;300;6;15
