subtype;EOVX;EOVY;LAT;LON;poid;id;risk;essential;work_type;work_capacity;work_minage;work_maxage;vis_type;vis_capacity;vis_minage;vis_maxage
ABC;735934;102418;46,260789;20,162045;37263;37263_2;1;1;4;5;18;65;7;300;0;99
ABC;732928;103763;46,273266;20,123302;37274;37274_3;1;1;4;5;18;65;7;300;0;99
ABC;733715;101118;46,249376;20,133034;37276;37276_4;1;1;4;5;18;65;7;300;0;99
ABC;737175;103079;46,266574;20,178263;114667;114667_5;1;1;4;5;18;65;7;300;0;99
ABC;728755;97890;46,220941;20,068177;114688;114688_6;1;1;4;5;18;65;7;300;0;99
ABC;738152;102392;46,260267;20,190804;114737;114737_7;1;1;4;5;18;65;7;300;0;99
ABC;728160;103317;46,269827;20,061378;114750;114750_8;1;1;4;5;18;65;7;300;0;99
ajándék és üdvözlőkártya;734119;103231;46,268332;20,138655;66544;66544_9;1;0;4;5;18;65;7;300;22;99
alapítvány;734626;101496;46,252662;20,144915;18556;18556_10;1;0;4;10;22;65;4;50;22;65
Alkotmányvédelmi Hivatal;734457;102117;46,258269;20,142836;102609;102609_11;1;0;4;1192;22;65;4;500;22;65
Állami Népegészségügyi és Tisztiorvosi Szolgálat;736294;100542;46,243868;20,166366;201;201_12;1;0;4;100;22;65;4;100;22;65
Állami Népegészségügyi és Tisztiorvosi Szolgálat;736294;100542;46,243868;20,166366;215693;215693_13;1;0;4;100;22;65;4;100;22;65
Állami Számvevőszék;734634;101932;46,256583;20,145098;105471;105471_14;1;0;4;100;22;65;4;50;22;65
állatkert, akvárium, vadaspark;732289;101533;46,253286;20,114619;28358;28358_15;0,5;0;4;20;18;65;10;500;0;99
állatorvosi gyógyszertár;734919;101754;46,254946;20,148761;137517;137517_16;1;1;4;5;24;65;7;100;14;99
állatorvosi gyógyszertár;734058;101051;46,248731;20,13747;137561;137561_17;1;1;4;5;24;65;7;100;14;99
állatorvosi rendelő;734524;102332;46,260195;20,143744;114736;114736_18;1;1;4;10;24;65;7;100;14;99
állatorvosi rendelő;736758;100706;46,245283;20,172412;209993;209993_19;1;1;4;10;24;65;7;100;14;99
alternatív gyógyítás, természetes gyógymódok;734730;102007;46,257245;20,146357;114608;114608_20;1;0;4;3;24;65;8;20;50;99
alternatív gyógyítás, természetes gyógymódok;734184;100934;46,247662;20,139082;114706;114706_21;1;0;4;3;24;65;8;20;50;99
alternatív gyógyítás, természetes gyógymódok;735312;101869;46,25593;20,153878;148301;148301_22;1;0;4;3;24;65;8;20;50;99
alternatív gyógyítás, természetes gyógymódok;734924;102087;46,25794;20,148887;148269;148269_23;1;0;4;3;24;65;8;20;50;99
alternatív gyógyítás, természetes gyógymódok;734332;102914;46,265454;20,14136;148318;148318_24;1;0;4;3;24;65;8;20;50;99
alternatív gyógyítás, természetes gyógymódok;736535;101416;46,251699;20,169653;148323;148323_25;1;0;4;3;24;65;8;20;50;99
alternatív gyógyítás, természetes gyógymódok;734398;102394;46,260768;20,142122;148349;148349_26;1;0;4;3;24;65;8;20;50;99
alternatív gyógyítás, természetes gyógymódok;734497;101042;46,248594;20,14316;148353;148353_27;1;0;4;3;24;65;8;20;50;99
