type;subtype;EOVX;EOVY;LAT;LON;capacity;;id;minage;maxage;risk
2;idősek klubja;735189;103894;46,270598;20,15258;56;114612;6723;65;200;6
2;idősek klubja;733689;101600;46,253715;20,132784;56;114724;6724;65;200;6
2;idősek klubja;733463;102862;46,265095;20,13008;56;114744;6724;65;200;6
2;idősek klubja;734454;103778;46,27321;20,143099;56;114752;6724;65;200;6
2;idősek otthona;734388;101604;46,253663;20,141849;55;108580;6722;65;200;6
2;idősek otthona;733888;101472;46,252539;20,135341;55;108734;6724;65;200;6
2;idősek otthona;734377;102555;46,262219;20,141878;55;108777;6724;65;200;6
2;idősek otthona;733717;99355;46,233518;20,132743;55;108800;6725;65;200;6
2;idősek otthona;733857;101484;46,252651;20,134942;55;109019;6724;65;200;6
2;idősek otthona;735259;99956;46,238729;20,152841;55;109020;6726;65;200;6
2;idősek otthona;736415;104234;46,277062;20,168621;55;109021;6727;65;200;6
2;idősek otthona;733030;101518;46,253059;20,124224;55;109193;6725;65;200;6
