type;subtype;EOVX;EOVY;LAT;LON;capacity;;id;minage;maxage;risk
3;általános iskola;728180;103894;46,275015;20,061735;269;44486;728180103894;6;15;1
3;általános iskola;728920;103301;46,269594;20,071233;231;42036;728920103301;6;15;1
3;általános iskola;732141;99632;46,236204;20,112364;198;43674;73214199632;6;15;1
3;általános iskola;733228;102215;46,259304;20,126916;300;213957;733228102215;6;15;1
3;általános iskola;733738;100890;46,247322;20,133292;300;42937;733738100890;6;15;1
3;általános iskola;733894;103147;46,267605;20,135721;736;45730;733894103147;6;15;1
3;általános iskola;733902;100003;46,239323;20,135258;364;43131;733902100003;6;15;1
3;általános iskola;734018;101993;46,257209;20,137121;300;213982;734018101993;6;15;1
3;általános iskola;734095;103480;46,270575;20,138389;420;42265;734095103480;6;15;1
3;általános iskola;734152;100777;46,246254;20,138639;300;46719;734152100777;6;15;1
3;általános iskola;734155;100325;46,242188;20,138596;300;34035;734155100325;6;15;1
3;általános iskola;734305;101237;46,250373;20,140706;462;47269;734305101237;6;15;1
3;általános iskola;734398;102244;46,259419;20,142094;749;34109;734398102244;6;15;1
3;általános iskola;734678;102182;46,258826;20,145714;300;40893;734678102182;6;15;1
3;általános iskola;734714;100725;46,245716;20,145916;300;34336;734714100725;6;15;1
3;általános iskola;734722;100938;46,247631;20,146058;300;42382;734722100938;6;15;1
3;általános iskola;734763;101817;46,255532;20,14675;339;43431;734763101817;6;15;1
3;általános iskola;735122;103911;46,274322;20,151789;372;43430;735122103911;6;15;1
3;általános iskola;735455;102240;46,259249;20,155801;300;213988;735455102240;6;15;1
3;általános iskola;735528;103364;46,26935;20,156954;398;34107;735528103364;6;15;1
3;általános iskola;735533;102253;46,259356;20,156815;434;46015;735533102253;6;15;1
3;általános iskola;735576;100930;46,24745;20,157129;511;45738;735576100930;6;15;1
3;általános iskola;735665;100545;46,243976;20,158212;309;44711;735665100545;6;15;1
3;általános iskola;735783;103224;46,268058;20,160236;300;34042;735783103224;6;15;1
3;általános iskola;735837;103372;46,269382;20,160964;472;34324;735837103372;6;15;1
3;általános iskola;735909;103773;46,27298;20,161972;247;44154;735909103773;6;15;1
3;általános iskola;736222;103694;46,272229;20,166017;300;44118;736222103694;6;15;1
3;általános iskola;736314;102485;46,261343;20,166986;488;34106;736314102485;6;15;1
3;általános iskola;736668;102729;46,263492;20,171622;111;43371;736668102729;6;15;1
3;általános iskola;736961;100597;46,244277;20,175024;300;42208;736961100597;6;15;1
3;általános iskola;737387;102768;46,263749;20,180954;225;47083;737387102768;6;15;1
3;általános iskola;738373;102357;46,259923;20,193664;300;45553;738373102357;6;15;1
3;általános iskola;738710;97718;46,218151;20,19715;426;44876;73871097718;6;15;1
3;bölcsőde;728414;103885;46,274906;20,064769;36;59443;728414103885;0;3;1
3;bölcsőde;729870;98193;46,223535;20,082679;36;59563;72987098193;0;3;1
