type;subtype;EOVX;EOVY;LAT;LON;capacity;id;id0;minage;maxage;risk
4;általános iskola;728180;103894;46,275015;20,061735;44;44486altal;44486;22;65;1
4;általános iskola;728920;103301;46,269594;20,071233;39;42036altal;42036;22;65;1
4;általános iskola;732141;99632;46,236204;20,112364;41;43674altal;43674;22;65;1
4;általános iskola;733228;102215;46,259304;20,126916;55;213957altal;213957;22;65;1
4;általános iskola;733738;100890;46,247322;20,133292;55;42937altal;42937;22;65;1
4;általános iskola;733894;103147;46,267605;20,135721;71;45730altal;45730;22;65;1
4;általános iskola;733902;100003;46,239323;20,135258;58;43131altal;43131;22;65;1
4;általános iskola;734018;101993;46,257209;20,137121;55;213982altal;213982;22;65;1
4;általános iskola;734095;103480;46,270575;20,138389;61;42265altal;42265;22;65;1
4;általános iskola;734152;100777;46,246254;20,138639;55;46719altal;46719;22;65;1
4;általános iskola;734155;100325;46,242188;20,138596;55;34035altal;34035;22;65;1
4;általános iskola;734305;101237;46,250373;20,140706;63;47269altal;47269;22;65;1
4;általános iskola;734398;102244;46,259419;20,142094;85;34109altal;34109;22;65;1
4;általános iskola;734678;102182;46,258826;20,145714;55;40893altal;40893;22;65;1
4;általános iskola;734714;100725;46,245716;20,145916;55;34336altal;34336;22;65;1
4;általános iskola;734722;100938;46,247631;20,146058;55;42382altal;42382;22;65;1
4;általános iskola;734763;101817;46,255532;20,14675;40;43431altal;43431;22;65;1
4;általános iskola;735122;103911;46,274322;20,151789;56;43430altal;43430;22;65;1
4;általános iskola;735455;102240;46,259249;20,155801;55;213988altal;213988;22;65;1
4;általános iskola;735528;103364;46,26935;20,156954;54;34107altal;34107;22;65;1
4;általános iskola;735533;102253;46,259356;20,156815;55;46015altal;46015;22;65;1
4;általános iskola;735576;100930;46,24745;20,157129;56;45738altal;45738;22;65;1
4;általános iskola;735665;100545;46,243976;20,158212;47;44711altal;44711;22;65;1
4;általános iskola;735783;103224;46,268058;20,160236;55;34042altal;34042;22;65;1
4;általános iskola;735837;103372;46,269382;20,160964;75;34324altal;34324;22;65;1
4;általános iskola;735909;103773;46,27298;20,161972;43;44154altal;44154;22;65;1
4;általános iskola;736222;103694;46,272229;20,166017;55;44118altal;44118;22;65;1
4;általános iskola;736314;102485;46,261343;20,166986;68;34106altal;34106;22;65;1
4;általános iskola;736668;102729;46,263492;20,171622;67;43371altal;43371;22;65;1
4;általános iskola;736961;100597;46,244277;20,175024;55;42208altal;42208;22;65;1
4;általános iskola;737387;102768;46,263749;20,180954;35;47083altal;47083;22;65;1
4;általános iskola;738373;102357;46,259923;20,193664;55;45553altal;45553;22;65;1
4;általános iskola;738710;97718;46,218151;20,19715;47;44876altal;44876;22;65;1
4;bölcsőde;728414;103885;46,274906;20,064769;8;59443bolcs;59443;22;65;1
4;bölcsőde;729870;98193;46,223535;20,082679;8;59563bolcs;59563;22;65;1
4;bölcsőde;729894;97945;46,22134277;20,08301594;8;137480bolcs;137480;22;65;1
4;bölcsőde;732723;100083;46,240189;20,119988;8;220967bolcs;220967;22;65;1
4;bölcsőde;733517;102894;46,265376;20,130786;8;59561bolcs;59561;22;65;1
4;bölcsőde;733725;103049;46,266744;20,133512;8;59562bolcs;59562;22;65;1
4;bölcsőde;733747;102090;46,25815716;20,13369312;8;187031bolcs;187031;22;65;1
4;bölcsőde;733847;100034;46,239609;20,134551;8;59555bolcs;59555;22;65;1
4;bölcsőde;734006;101448;46,25234997;20,13693585;8;148385bolcs;148385;22;65;1
4;bölcsőde;734007;100833;46,246776;20,136769;8;59560bolcs;59560;22;65;1
4;bölcsőde;734589;100505;46,243752;20,144255;8;148270bolcs;148270;22;65;1
4;bölcsőde;734621;100808;46,246474;20,144725;8;59566bolcs;59566;22;65;1
4;bölcsőde;734622;101048;46,24867452;20,14485043;8;148351bolcs;148351;22;65;1
4;bölcsőde;734930;103074;46,266817;20,149145;8;59554bolcs;59554;22;65;1
4;bölcsőde;735210;104087;46,275894;20,152962;8;59558bolcs;59558;22;65;1
4;bölcsőde;735285;104119;46,27621411;20,15400983;8;174703bolcs;174703;22;65;1
4;bölcsőde;735535;100519;46,243758;20,156522;8;59565bolcs;59565;22;65;1
4;bölcsőde;735849;103597;46,271405;20,161161;8;59557bolcs;59557;22;65;1
4;bölcsőde;735890;102198;46,25885752;20,16150308;8;220962bolcs;220962;22;65;1
4;bölcsőde;736239;103181;46,267613;20,166142;8;59559bolcs;59559;22;65;1
4;bölcsőde;736313;104639;46,280718;20,167373;8;148416bolcs;148416;22;65;1
4;bölcsőde;736501;100422;46,242762;20,169027;8;59564bolcs;59564;22;65;1
4;bölcsőde;736613;104266;46,277324;20,171195;8;178758bolcs;178758;22;65;1
4;bölcsőde;736613;104266;46,277324;20,171195;8;220963bolcs;220963;22;65;1
4;bölcsőde;736645;103016;46,266076;20,171377;8;59556bolcs;59556;22;65;1
4;bölcsőde;737421;102484;46,2612322;20,18141074;8;220966bolcs;220966;22;65;1
4;bölcsőde;737441;100634;46,24458898;20,18132234;8;148316bolcs;148316;22;65;1
4;bölcsőde;737449;100400;46,24248312;20,18138208;8;220964bolcs;220964;22;65;1
4;bölcsőde;737832;100801;46,24604003;20,18642299;8;148565bolcs;148565;22;65;1
4;bölcsőde;737879;98993;46,229729;20,186622;8;220965bolcs;220965;22;65;1
4;bölcsőde;738209;99014;46,22991667;20,19097204;8;148245bolcs;148245;22;65;1
4;bölcsőde;738704;97645;46,217495;20,197058;8;59594bolcs;59594;22;65;1
4;bölcsőde;739257;102484;46,260948;20,205152;8;174779bolcs;174779;22;65;1
4;gimnázium;733254;101544;46,253265;20,127133;70;44672gimna;44672;22;65;1
4;gimnázium;733738;100890;46,247322;20,133292;70;42937gimna;42937;22;65;1
4;gimnázium;734018;101993;46,257209;20,137121;70;213982gimna;213982;22;65;1
4;gimnázium;734155;100325;46,242188;20,138596;70;34035gimna;34035;22;65;1
4;gimnázium;734159;101858;46,255977;20,138925;24;44355gimna;44355;22;65;1
4;gimnázium;734233;103218;46,268201;20,140131;70;44323gimna;44323;22;65;1
4;gimnázium;734233;103218;46,268201;20,140131;70;109362gimna;109362;22;65;1
4;gimnázium;734335;100912;46,247445;20,141036;70;213968gimna;213968;22;65;1
4;gimnázium;734722;100938;46,247631;20,146058;70;42382gimna;42382;22;65;1
4;gimnázium;735139;101187;46,249817;20,15151;106;41619gimna;41619;22;65;1
4;gimnázium;735325;101860;46,255847;20,154045;70;110150gimna;110150;22;65;1
4;gimnázium;735418;102243;46,259281;20,155322;70;213989gimna;213989;22;65;1
4;gimnázium;735452;101874;46,255957;20,155695;96;46822gimna;46822;22;65;1
4;gimnázium;735455;102240;46,259249;20,155801;70;213988gimna;213988;22;65;1
4;gimnázium;735535;103433;46,26997;20,157058;102;40940gimna;40940;22;65;1
4;gimnázium;735542;102295;46,259733;20,156939;70;44356gimna;44356;22;65;1
4;gimnázium;735783;103224;46,268058;20,160236;70;34042gimna;34042;22;65;1
4;gimnázium;736129;103222;46,267996;20,164723;62;41751gimna;41751;22;65;1
4;óvoda;728016;103964;46,275663;20,059619;7;109836ovoda;109836;22;65;1
4;óvoda;728333;104474;46,280214;20,063817;10;109838ovoda;109838;22;65;1
4;óvoda;728595;103977;46,275713;20,067132;10;109839ovoda;109839;22;65;1
4;óvoda;728954;103643;46,272666;20,071733;14;109837ovoda;109837;22;65;1
4;óvoda;729897;97414;46,216524;20,082895;6;109825ovoda;109825;22;65;1
4;óvoda;731945;96162;46,205015;20,109213;6;109826ovoda;109826;22;65;1
4;óvoda;732030;99622;46,236128;20,110923;10;109813ovoda;109813;22;65;1
4;óvoda;732380;98802;46,228709;20,115315;19;109824ovoda;109824;22;65;1
4;óvoda;732723;100083;46,240189;20,119988;14;46627ovoda;46627;22;65;1
4;óvoda;732765;102900;46,265523;20,121034;14;109854ovoda;109854;22;65;1
4;óvoda;732863;103587;46,271691;20,122428;6;45559ovoda;45559;22;65;1
4;óvoda;733530;101247;46,25056;20,130659;13;109835ovoda;109835;22;65;1
4;óvoda;733599;100853;46,247007;20,131483;3;109834ovoda;109834;22;65;1
4;óvoda;733676;103204;46,268145;20,132904;13;109840ovoda;109840;22;65;1
4;óvoda;733856;101589;46,253595;20,134947;10;109808ovoda;109808;22;65;1
4;óvoda;733869;100021;46,239489;20,134833;20;109533ovoda;109533;22;65;1
4;óvoda;734152;100777;46,246254;20,138639;14;46719ovoda;46719;22;65;1
4;óvoda;734205;100430;46,243126;20,139263;14;109532ovoda;109532;22;65;1
4;óvoda;734238;102632;46,262929;20,14009;16;109844ovoda;109844;22;65;1
4;óvoda;734309;101096;46,249104;20,140732;14;109814ovoda;109814;22;65;1
4;óvoda;734324;100607;46,244703;20,140838;14;46274ovoda;46274;22;65;1
4;óvoda;734349;100113;46,240257;20,141072;7;109833ovoda;109833;22;65;1
4;óvoda;734371;101721;46,254718;20,141649;10;109820ovoda;109820;22;65;1
4;óvoda;734402;101977;46,257017;20,142098;14;109816ovoda;109816;22;65;1
4;óvoda;734443;104130;46,276378;20,143021;20;109853ovoda;109853;22;65;1
4;óvoda;734504;102345;46,260314;20,143487;13;109858ovoda;109858;22;65;1
4;óvoda;734577;100655;46,245103;20,144127;14;44811ovoda;44811;22;65;1
4;óvoda;734788;101169;46,2497;20,146956;20;109815ovoda;109815;22;65;1
4;óvoda;734898;103164;46,267631;20,148746;28;109842ovoda;109842;22;65;1
4;óvoda;734914;101903;46,256286;20,148724;14;46252ovoda;46252;22;65;1
4;óvoda;734931;101267;46,250563;20,148828;10;109821ovoda;109821;22;65;1
4;óvoda;735171;102931;46,265501;20,152245;14;44778ovoda;44778;22;65;1
4;óvoda;735209;104057;46,275624;20,152944;14;109851ovoda;109851;22;65;1
4;óvoda;735237;103463;46,270278;20,153198;28;109841ovoda;109841;22;65;1
4;óvoda;735247;102063;46,257683;20,153071;14;43597ovoda;43597;22;65;1
4;óvoda;735455;102240;46,259249;20,155801;14;213988ovoda;213988;22;65;1
4;óvoda;735535;100519;46,243758;20,156522;27;109831ovoda;109831;22;65;1
4;óvoda;735544;101054;46,24857;20,156737;34;109830ovoda;109830;22;65;1
4;óvoda;735734;102872;46,264898;20,159536;14;109391ovoda;109391;22;65;1
4;óvoda;735769;103401;46,269652;20,160087;14;109850ovoda;109850;22;65;1
4;óvoda;735772;100393;46,242595;20,159571;14;109832ovoda;109832;22;65;1
4;óvoda;735783;103224;46,268058;20,160236;14;34042ovoda;34042;22;65;1
4;óvoda;736025;103848;46,27364;20,16349;14;109845ovoda;109845;22;65;1
4;óvoda;736081;102903;46,265133;20,164042;14;109846ovoda;109846;22;65;1
4;óvoda;736208;102633;46,262688;20,165639;14;109823ovoda;109823;22;65;1
4;óvoda;736217;103157;46,2674;20,165853;20;109848ovoda;109848;22;65;1
4;óvoda;736222;103694;46,272229;20,166017;113;44118ovoda;44118;22;65;1
4;óvoda;736497;103234;46,268056;20,169499;4;109849ovoda;109849;22;65;1
4;óvoda;736528;104584;46,280195;20,170152;14;109847ovoda;109847;22;65;1
4;óvoda;736765;102809;46,264199;20,172895;25;109859ovoda;109859;22;65;1
