type;subtype;EOVX;EOVY;wgse;wgsn;capacity;id;minage;maxage;;;;;;;;;;
4;busz pályaudvar;553290;112928;46,353835;17,790953;500;0553290112928;24;65;;;;;;;;;;
4;busz pályaudvar;553349;112904;46,353628;17,791724;500;0553349112904;24;65;;;;;;;;;;
4;busz pályaudvar;731443;114113;46,366547;20,105856;500;0731443114113;24;65;;;;;;;;;;
4;busz pályaudvar;734360;102000;46,257229;20,141557;500;0734360102000;24;65;;;;;;;;;;
4;busz pályaudvar;736052;103483;46,270353;20,163773;500;0736052103483;24;65;;;;;;;;;;
2;diákszálló;553558;114053;46,363993;17,7942;10;2553558114053;18;65;;;;;;;;;;
2;diákszálló;734519;100339;46,242268;20,143317;10;2734519100339;18;65;;;;;;;;;;
2;diákszálló;734149;101462;46,252416;20,138724;10;2734149101462;18;65;;;;;;;;;;
2;diákszálló;733767;102642;46,263078;20,133983;10;2733767102642;18;65;;;;;;;;;;
2;diákszálló;736081;102903;46,265133;20,164042;10;2736081102903;18;65;;;;;;;;;;
2;diákszálló;734863;101091;46,248989;20,147914;10;2734863101091;18;65;;;;;;;;;;
2;diákszálló;731013;104284;46,278186;20,098552;10;2731013104284;18;65;;;;;;;;;;
2;diákszálló;736412;100924;46,247289;20,167967;10;2736412100924;18;65;;;;;;;;;;
2;diákszálló;734757;102223;46,259185;20,146746;10;2734757102223;18;65;;;;;;;;;;
2;diákszálló;734839;100730;46,245745;20,147537;10;2734839100730;18;65;;;;;;;;;;
2;diákszálló;734707;100506;46,243747;20,145785;10;2734707100506;18;65;;;;;;;;;;
2;diákszálló;734800;100873;46,247036;20,147058;10;2734800100873;18;65;;;;;;;;;;
2;ifjúsági szálló;546023;110415;46,330141;17,697118;10;2546023110415;18;65;;;;;;;;;;
2;ifjúsági szálló;557632;100483;46,24248372;17,84984175;10;2557632100483;18;65;;;;;;;;;;
2;ifjúsági szálló;565355;133868;46,54383;17,943841;10;2565355133868;18;65;;;;;;;;;;
2;ifjúsági szálló;724542;95324;46,198341;20,01317;10;272454295324;18;65;;;;;;;;;;
2;ifjúsági szálló;737475;101364;46,251109;20,181832;10;2737475101364;18;65;;;;;;;;;;
2;ifjúsági szálló;734767;100179;46,240798;20,146503;10;2734767100179;18;65;;;;;;;;;;
2;ifjúsági szálló;548665;103787;46,27093;17,732872;10;2548665103787;18;65;;;;;;;;;;
2;kemping;565355;133868;46,54383;17,943841;200;2565355133868;18;65;;;;;;;;;;
2;kemping;547645;104782;46,279725;17,719423;200;2547645104782;18;65;;;;;;;;;;
2;kemping;724542;95324;46,198341;20,01317;200;272454295324;18;65;;;;;;;;;;
2;kemping;724552;103024;46,267602;20,014532;200;2724552103024;18;65;;;;;;;;;;
2;kemping;725150;103498;46,271776;20,022374;200;2725150103498;18;65;;;;;;;;;;
2;kemping;735735;101494;46,252503;20,159294;200;2735735101494;18;65;;;;;;;;;;
2;kemping;732653;102786;46,264512;20,119561;200;2732653102786;18;65;;;;;;;;;;
2;kemping;548454;103617;46,269369;17,730172;200;2548454103617;18;65;;;;;;;;;;
2;kollégium;564997;132281;46,529509;17,939468;100;2564997132281;18;65;;;;;;;;;;
2;kollégium;539538;99485;46,230792;17,615518;100;253953899485;18;65;;;;;;;;;;
2;kollégium;554515;114364;46,366928;17,80657;100;2554515114364;18;65;;;;;;;;;;
2;kollégium;556165;116234;46,383982;17,827629;100;2556165116234;18;65;;;;;;;;;;
2;kollégium;554002;113140;46,355845;17,800158;100;2554002113140;18;65;;;;;;;;;;
2;kollégium;551377;112867;46,353007;17,766115;100;2551377112867;18;65;;;;;;;;;;
2;kollégium;553604;113660;46,360465;17,794879;100;2553604113660;18;65;;;;;;;;;;
2;kollégium;553149;113665;46,360444;17,788967;100;2553149113665;18;65;;;;;;;;;;
2;kollégium;553893;113842;46,362144;17,798596;100;2553893113842;18;65;;;;;;;;;;
2;kollégium;553283;113930;46,362847;17,790652;100;2553283113930;18;65;;;;;;;;;;
2;kollégium;553139;113442;46,358437;17,788884;100;2553139113442;18;65;;;;;;;;;;
2;kollégium;551966;112822;46,352689;17,773776;100;2551966112822;18;65;;;;;;;;;;
2;kollégium;556043;116319;46,38473;17,826026;100;2556043116319;18;65;;;;;;;;;;
2;kollégium;556043;116319;46,38473;17,826026;100;2556043116319;18;65;;;;;;;;;;
2;kollégium;553558;114053;46,363993;17,7942;100;2553558114053;18;65;;;;;;;;;;
2;kollégium;531618;118489;46,400365;17,508019;100;2531618118489;18;65;;;;;;;;;;
2;kollégium;531897;117596;46,392382;17,511875;100;2531897117596;18;65;;;;;;;;;;
2;kollégium;734155;100325;46,242188;20,138596;100;2734155100325;18;65;;;;;;;;;;
2;kollégium;734233;103218;46,268201;20,140131;100;2734233103218;18;65;;;;;;;;;;
2;kollégium;734519;100339;46,242268;20,143317;100;2734519100339;18;65;;;;;;;;;;
2;kollégium;734624;100550;46,244153;20,144717;100;2734624100550;18;65;;;;;;;;;;
2;kollégium;734152;100777;46,246254;20,138639;100;2734152100777;18;65;;;;;;;;;;
2;kollégium;736492;101139;46,249213;20,169044;100;2736492101139;18;65;;;;;;;;;;
2;kollégium;734149;101462;46,252416;20,138724;100;2734149101462;18;65;;;;;;;;;;
2;kollégium;735129;101133;46,249333;20,151371;100;2735129101133;18;65;;;;;;;;;;
2;kollégium;732549;101612;46,253964;20,118004;100;2732549101612;18;65;;;;;;;;;;
2;kollégium;733767;102642;46,263078;20,133983;100;2733767102642;18;65;;;;;;;;;;
2;kollégium;734863;101091;46,248989;20,147914;100;2734863101091;18;65;;;;;;;;;;
2;kollégium;736647;100869;46,246764;20,171003;100;2736647100869;18;65;;;;;;;;;;
2;kollégium;734238;101243;46,250435;20,139838;100;2734238101243;18;65;;;;;;;;;;
2;kollégium;731013;104284;46,278186;20,098552;100;2731013104284;18;65;;;;;;;;;;
2;kollégium;736962;101337;46,250933;20,175175;100;2736962101337;18;65;;;;;;;;;;
2;kollégium;734508;100198;46,241001;20,143149;100;2734508100198;18;65;;;;;;;;;;
2;kollégium;734285;101327;46,251185;20,140463;100;2734285101327;18;65;;;;;;;;;;
2;kollégium;731329;102690;46,26381;20,102373;100;2731329102690;18;65;;;;;;;;;;
2;kollégium;736412;100924;46,247289;20,167967;100;2736412100924;18;65;;;;;;;;;;
2;kollégium;734877;102168;46,258675;20,148292;100;2734877102168;18;65;;;;;;;;;;
2;kollégium;734757;102223;46,259185;20,146746;100;2734757102223;18;65;;;;;;;;;;
2;kollégium;734159;101858;46,255977;20,138925;100;2734159101858;18;65;;;;;;;;;;
2;kollégium;734839;100730;46,245745;20,147537;100;2734839100730;18;65;;;;;;;;;;
2;kollégium;734751;100589;46,244488;20,146371;100;2734751100589;18;65;;;;;;;;;;
2;kollégium;734707;100506;46,243747;20,145785;100;2734707100506;18;65;;;;;;;;;;
2;kollégium;733012;100254;46,241692;20,123765;100;2733012100254;18;65;;;;;;;;;;
2;kollégium;734155;100325;46,242188;20,138596;100;2734155100325;18;65;;;;;;;;;;
2;kollégium;736234;100959;46,247627;20,165665;100;2736234100959;18;65;;;;;;;;;;
2;kollégium;734800;100873;46,247036;20,147058;100;2734800100873;18;65;;;;;;;;;;
2;motel;732653;102786;46,264512;20,119561;50;2732653102786;18;65;;;;;;;;;;
2;motel;729029;98842;46,229472;20,07189;50;272902998842;18;65;;;;;;;;;;
2;motel;736189;100612;46,244511;20,165018;50;2736189100612;18;65;;;;;;;;;;
2;munkásszálló;734508;100198;46,241001;20,143149;200;2734508100198;18;65;;;;;;;;;;
2;munkásszálló;734838;100315;46,242012;20,147448;200;2734838100315;18;65;;;;;;;;;;
2;munkásszálló;733122;101767;46,255288;20,125462;200;2733122101767;18;65;;;;;;;;;;
2;panzió, fogadó;556323;137606;46,576243;17,825336;50;2556323137606;24;65;;;;;;;;;;
2;panzió, fogadó;562344;103352;46,268949;17,910382;50;2562344103352;24;65;;;;;;;;;;
2;panzió, fogadó;565098;133678;46,542088;17,940526;50;2565098133678;24;65;;;;;;;;;;
2;panzió, fogadó;539742;97874;46,216336;17,618544;50;253974297874;24;65;;;;;;;;;;
2;panzió, fogadó;553314;113530;46,359254;17,791139;50;2553314113530;24;65;;;;;;;;;;
2;panzió, fogadó;553093;114550;46,368396;17,788054;50;2553093114550;24;65;;;;;;;;;;
2;panzió, fogadó;555723;117147;46,392132;17,821698;50;2555723117147;24;65;;;;;;;;;;
2;panzió, fogadó;553181;113118;46,355529;17,789497;50;2553181113118;24;65;;;;;;;;;;
2;panzió, fogadó;552648;112783;46,352438;17,782643;50;2552648112783;24;65;;;;;;;;;;
2;panzió, fogadó;553570;113384;46,357978;17,794495;50;2553570113384;24;65;;;;;;;;;;
2;panzió, fogadó;553416;114832;46,37098;17,792192;50;2553416114832;24;65;;;;;;;;;;
2;panzió, fogadó;554646;111815;46,344019;17,808797;50;2554646111815;24;65;;;;;;;;;;
2;panzió, fogadó;724542;95324;46,198341;20,01317;50;272454295324;24;65;;;;;;;;;;
2;panzió, fogadó;731475;114063;46,366093;20,106263;50;2731475114063;24;65;;;;;;;;;;
2;panzió, fogadó;728442;110788;46,336997;20,066298;50;2728442110788;24;65;;;;;;;;;;
2;panzió, fogadó;734117;99638;46,236013;20,137979;50;273411799638;24;65;;;;;;;;;;
2;panzió, fogadó;737533;107732;46,308381;20,183783;50;2737533107732;24;65;;;;;;;;;;
2;panzió, fogadó;728953;107044;46,303259;20,072298;50;2728953107044;24;65;;;;;;;;;;
